DBN,Major N,Oth N,NoCrim N,Prop N,Vio N,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Latitude,Longitude,SATmath,SATall
05M670,1.0,2.0,4.0,3.0,0.0,0.28,1.11,1.74,0.75,0.53,40.815509000000006,-73.944202,402.0,400.6666666666667
25Q540,0.0,2.0,0.0,1.0,0.0,0.35,1.06,1.09,0.73,0.5,40.765162,-73.8288,382.0,389.3333333333333
25Q540,1.0,1.0,0.0,1.0,0.0,0.27,1.11,1.38,0.8,0.48,40.765162,-73.8288,382.0,389.3333333333333
25Q540,0.0,0.0,1.0,0.0,0.0,0.27,0.9,1.67,0.63,0.44,40.765162,-73.8288,382.0,389.3333333333333
25Q285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.765133,-73.790083,489.0,480.3333333333333
25Q252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.724458,-73.810216,498.0,465.3333333333333
27Q323,1.0,1.0,0.0,2.0,0.0,0.86,3.26,5.55,2.17,1.29,40.584109000000005,-73.825711,537.0,510.6666666666667
27Q323,0.0,0.0,2.0,0.0,0.0,0.89,3.22,5.07,2.18,1.64,40.584109000000005,-73.825711,537.0,510.6666666666667
27Q323,0.0,0.0,0.0,0.0,0.0,0.64,3.02,5.77,1.72,1.54,40.584109000000005,-73.825711,537.0,510.6666666666667
25Q263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.759844,-73.820548,417.0,349.6666666666667
29Q259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.70646,-73.753579,397.0,391.0
27Q308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.671240000000004,-73.845141,426.0,421.6666666666667
25Q281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.749545,-73.822073,463.0,423.6666666666667
27Q400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.675633000000005,-73.783342,371.0,369.3333333333333
30Q301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.742956,-73.95919599999999,440.0,418.3333333333333
26Q495,3.0,11.0,11.0,9.0,4.0,2.13,9.06,14.5,6.06,3.56,40.771755,-73.78029599999999,523.0,483.0
26Q495,1.0,7.0,4.0,3.0,3.0,1.57,7.21,14.07,5.14,2.57,40.771755,-73.78029599999999,523.0,483.0
